Election,PrefCode,PrefName_E,PrefName_J,Eligible,Voters,EffVote,Magnitude,Candidates
7,35,Yamaguchi,山口県,963811,667525,622994,1,6
7,36,Tokushima,徳島県,508554,352911,331431,1,4
7,37,Kagawa,香川県,579415,419288,376061,1,3
7,38,Ehime,愛媛県,896332,663189,631727,1,3
7,39,Kochi,高知県,541365,404073,377693,1,3
7,40,Fukuoka,福岡県,2420371,1550060,1480732,3,7
7,41,Saga,佐賀県,512041,376681,363970,1,3
7,42,Nagasaki,長崎県,913501,599056,551423,1,6
7,43,Kumamoto,熊本県,1045893,721132,658350,2,4
7,44,Oita,大分県,715657,523042,500608,1,4
7,45,Miyazaki,宮崎県,625401,462768,436605,1,3
7,46,Kagoshima,鹿児島県,1098768,802529,755956,2,4
8,1,Hokkaido,北海道,3187163,2114921,1983843,4,8
8,2,Aomori,青森県,879393,567892,535009,1,5
8,3,Iwate,岩手県,877717,625719,598004,1,3
8,4,Miyagi,宮城県,1127773,782888,731936,1,3
8,5,Akita,秋田県,797531,595707,552598,1,5
8,6,Yamagata,山形県,802058,640334,616324,1,3
8,7,Fukushima,福島県,1195422,967109,925466,2,5
8,8,Ibaraki,茨城県,1325268,811229,763390,2,4
8,9,Tochigi,栃木県,962027,703146,681244,2,5
8,10,Gunma,群馬県,1044537,859092,832026,2,4
8,11,Saitama,埼玉県,2110248,1273568,1194300,2,3
8,12,Chiba,千葉県,1953487,1179750,1109210,2,7
8,13,Tokyo,東京都,7835598,4908066,4743866,4,24
8,14,Kanagawa,神奈川県,3342694,2040453,1900979,2,4
8,15,Nigata,新潟県,1524914,1223798,1168576,2,4
8,16,Toyama,富山県,683395,528133,518091,1,4
8,17,Ishikawa,石川県,654735,536021,519109,1,4
8,18,Fukui,福井県,490768,391181,382324,1,3
8,19,Yamanashi,山梨県,487747,376404,363887,1,3
8,20,Nagano,長野県,1302793,1025451,988810,2,3
8,21,Gifu,岐阜県,1117079,827465,785948,1,3
8,22,Shizuoka,静岡県,1914619,1477746,1428473,2,5
8,23,Aichi,愛知県,3285490,2134067,2062509,3,6
8,24,Mie,三重県,1006948,724286,686836,1,3
8,25,Shiga,滋賀県,564512,417816,407047,1,4
8,26,Kyoto,京都府,1505866,968290,900587,2,5
8,27,Osaka,大阪府,4700397,2941510,2840266,3,7
8,28,Hyogo,兵庫県,2992999,1974295,1919076,3,6
8,29,Nara,奈良県,571651,404395,369540,1,3
8,30,Wakayama,和歌山県,702698,495741,453286,1,3
8,31,Tottori,鳥取県,375114,313969,300083,1,3
8,32,Shimane,島根県,529254,448723,434817,1,3
8,33,Okayama,岡山県,1117979,835464,800960,2,4
8,34,Hiroshima,広島県,1569321,1070142,999532,2,3
8,35,Yamaguchi,山口県,1008668,723440,666651,1,3
8,36,Tokushima,徳島県,525110,366970,336244,1,3
8,37,Kagawa,香川県,605384,459436,421112,1,5
8,38,Ehime,愛媛県,928827,689346,650493,1,4
8,39,Kochi,高知県,548536,415204,384727,1,3
8,40,Fukuoka,福岡県,2601276,1802271,1744711,3,6
8,41,Saga,佐賀県,535577,419928,405778,1,6
8,42,Nagasaki,長崎県,958684,667885,617934,1,3
8,43,Kumamoto,熊本県,1098358,796038,730720,2,5
8,44,Oita,大分県,747503,562035,542658,1,3
8,45,Miyazaki,宮崎県,661866,493711,469380,1,5
8,46,Kagoshima,鹿児島県,1127161,839913,791620,2,4
9,1,Hokkaido,北海道,3425367,2045912,1959698,4,7
9,2,Aomori,青森県,951578,504613,476630,1,4
9,3,Iwate,岩手県,921517,565815,534859,1,3
9,4,Miyagi,宮城県,1227496,747272,718266,1,4
9,5,Akita,秋田県,847439,573320,542615,1,3
9,6,Yamagata,山形県,841682,589542,570439,1,3
9,7,Fukushima,福島県,1270184,940289,911330,2,4
9,8,Ibaraki,茨城県,1462494,825788,795103,2,4
9,9,Tochigi,栃木県,1067588,662195,643995,2,4
9,10,Gunma,群馬県,1130126,788168,765612,2,5
9,11,Saitama,埼玉県,2574360,1327308,1247865,2,3
9,12,Chiba,千葉県,2316939,1172257,1111680,2,6
9,13,Tokyo,東京都,8030337,4535825,4416269,4,16
9,14,Kanagawa,神奈川県,3809224,1960224,1862142,2,3
9,15,Nigata,新潟県,1604667,1036405,949330,2,3
9,16,Toyama,富山県,725863,477036,466388,1,5
9,17,Ishikawa,石川県,698349,430618,400210,1,3
9,18,Fukui,福井県,512704,349169,341234,1,3
9,19,Yamanashi,山梨県,519466,346043,336892,1,4
9,20,Nagano,長野県,1374078,912506,878366,2,4
9,21,Gifu,岐阜県,1198659,783815,757601,1,3
9,22,Shizuoka,静岡県,2102443,1429282,1400965,2,5
9,23,Aichi,愛知県,3643238,1874397,1761250,3,8
9,24,Mie,三重県,1074027,657945,628682,1,3
9,25,Shiga,滋賀県,617571,411124,401736,1,3
9,26,Kyoto,京都府,1624828,904249,846139,2,4
9,27,Osaka,大阪府,5203053,2810249,2744883,3,8
9,28,Hyogo,兵庫県,3209821,1755173,1674681,3,5
9,29,Nara,奈良県,646774,400692,376940,1,5
9,30,Wakayama,和歌山県,734072,453196,407957,1,3
9,31,Tottori,鳥取県,395402,304598,286734,1,4
9,32,Shimane,島根県,540440,422313,413899,1,4
9,33,Okayama,岡山県,1211555,725934,688379,2,4
9,34,Hiroshima,広島県,1711192,1015017,965841,2,4
9,35,Yamaguchi,山口県,1060941,661192,618661,1,3
9,36,Tokushima,徳島県,556877,354563,335812,1,4
9,37,Kagawa,香川県,648900,398323,373461,1,3
9,38,Ehime,愛媛県,987169,628755,596667,1,4
9,39,Kochi,高知県,576792,411692,389314,1,4
9,40,Fukuoka,福岡県,2771685,1479958,1392345,3,5
9,41,Saga,佐賀県,556098,366065,355780,1,3
9,42,Nagasaki,長崎県,991454,604926,569247,1,3
9,43,Kumamoto,熊本県,1152597,757293,716324,2,4
9,44,Oita,大分県,797418,538646,522488,1,4
9,45,Miyazaki,宮崎県,701856,452209,433610,1,3
9,46,Kagoshima,鹿児島県,1151347,772104,742597,2,5
9,47,Okinawa,沖縄県,545988,370722,366011,1,3
10,1,Hokkaido,北海道,3556162,2697721,2649857,4,7
10,2,Aomori,青森県,985163,634009,599585,1,4
10,3,Iwate,岩手県,948818,703705,673373,1,3
10,4,Miyagi,宮城県,1304765,949409,917820,1,5
10,5,Akita,秋田県,868032,677048,639767,1,3
10,6,Yamagata,山形県,860056,717761,701432,1,4
10,7,Fukushima,福島県,1323414,1112218,1078887,2,4
10,8,Ibaraki,茨城県,1562863,1128688,1102210,2,5
10,9,Tochigi,栃木県,1139163,865903,846640,2,7
10,10,Gunma,群馬県,1183622,965896,944145,2,5
10,11,Saitama,埼玉県,3002594,2102516,2049151,2,6
10,12,Chiba,千葉県,2637424,1866345,1822945,2,6
10,13,Tokyo,東京都,8100219,5554997,5389360,4,20
10,14,Kanagawa,神奈川県,4193110,2898108,2840828,2,7
10,15,Nigata,新潟県,1649386,1351802,1311527,2,5
10,16,Toyama,富山県,749643,609755,602473,1,3
10,17,Ishikawa,石川県,726509,548449,520406,1,3
10,18,Fukui,福井県,531037,424874,415301,1,3
10,19,Yamanashi,山梨県,537367,429197,421134,1,5
10,20,Nagano,長野県,1410600,1167390,1148010,2,5
10,21,Gifu,岐阜県,1254153,954656,930153,1,6
10,22,Shizuoka,静岡県,2221174,1775659,1711066,2,7
10,23,Aichi,愛知県,3867378,2623640,2549149,3,7
10,24,Mie,三重県,1113680,788580,768300,1,4
10,25,Shiga,滋賀県,654064,498854,487843,1,6
10,26,Kyoto,京都府,1690107,1067163,1008520,2,5
10,27,Osaka,大阪府,5485413,3603118,3500400,3,6
10,28,Hyogo,兵庫県,3371455,2335416,2275058,3,6
10,29,Nara,奈良県,715021,526037,496297,1,4
10,30,Wakayama,和歌山県,752812,537827,502843,1,3
10,31,Tottori,鳥取県,410507,348227,334694,1,3
10,32,Shimane,島根県,547487,475902,463364,1,5
10,33,Okayama,岡山県,1247744,987243,968199,2,5
10,34,Hiroshima,広島県,1805813,1332201,1300219,2,5
10,35,Yamaguchi,山口県,1087469,811158,773965,1,4
10,36,Tokushima,徳島県,572321,449029,435121,1,5
10,37,Kagawa,香川県,674716,493390,462127,1,3
10,38,Ehime,愛媛県,1018061,764645,738680,1,5
10,39,Kochi,高知県,589503,446219,424282,1,3
10,40,Fukuoka,福岡県,2898719,2161386,2092958,3,5
10,41,Saga,佐賀県,569335,447875,433277,1,4
10,42,Nagasaki,長崎県,1015666,741060,703628,1,4
10,43,Kumamoto,熊本県,1175628,949884,901115,2,6
10,44,Oita,大分県,823750,664549,647257,1,4
10,45,Miyazaki,宮崎県,731575,579513,563923,1,4
10,46,Kagoshima,鹿児島県,1181383,931002,906027,2,6
10,47,Okinawa,沖縄県,611187,463876,444085,1,2
11,1,Hokkaido,北海道,3710790,2733866,2684839,4,9
11,2,Aomori,青森県,1027510,679590,648671,1,5
11,3,Iwate,岩手県,979351,704070,672834,1,3
11,4,Miyagi,宮城県,1379989,984702,960273,1,2
11,5,Akita,秋田県,893851,691981,665302,1,3
11,6,Yamagata,山形県,886537,708651,688096,1,3
11,7,Fukushima,福島県,1376657,1035447,1001940,2,5
11,8,Ibaraki,茨城県,1659411,1037507,994430,2,5
11,9,Tochigi,栃木県,1193859,837576,818883,2,6
11,10,Gunma,群馬県,1237278,913510,879170,2,3
11,11,Saitama,埼玉県,3301983,2097607,2021759,2,6
11,12,Chiba,千葉県,2900820,1767017,1677346,2,5
11,13,Tokyo,東京都,8149556,5217037,5010804,4,18
11,14,Kanagawa,神奈川県,4453853,2705408,2629648,2,7
11,15,Nigata,新潟県,1698066,1179044,1110462,2,3
11,16,Toyama,富山県,768404,587042,576926,1,3
11,17,Ishikawa,石川県,752872,525965,495330,1,4
11,18,Fukui,福井県,546177,448025,441311,1,3
11,19,Yamanashi,山梨県,553293,440755,430321,1,3
11,20,Nagano,長野県,1447686,1119440,1085522,2,4
11,21,Gifu,岐阜県,1300132,911985,884486,1,3
11,22,Shizuoka,静岡県,2310065,1704041,1675040,2,6
11,23,Aichi,愛知県,4015375,2630115,2578377,3,9
11,24,Mie,三重県,1150263,838068,818743,1,4
11,25,Shiga,滋賀県,697508,520128,508562,1,4
11,26,Kyoto,京都府,1728942,1067846,1000077,2,7
11,27,Osaka,大阪府,5608468,3508797,3427766,3,12
11,28,Hyogo,兵庫県,3471449,2275733,2230174,3,8
11,29,Nara,奈良県,762032,497207,463599,1,3
11,30,Wakayama,和歌山県,762581,525208,468567,1,3
11,31,Tottori,鳥取県,423014,352683,334486,1,3
11,32,Shimane,島根県,558093,475249,465247,1,3
11,33,Okayama,岡山県,1304332,884919,842454,2,3
11,34,Hiroshima,広島県,1862375,1301679,1257374,2,4
11,35,Yamaguchi,山口県,1110384,793680,753612,1,3
11,36,Tokushima,徳島県,587108,372276,347103,1,3
11,37,Kagawa,香川県,696220,526932,504265,1,3
11,38,Ehime,愛媛県,1050990,730451,698987,1,3
11,39,Kochi,高知県,602350,427068,397434,1,3
11,40,Fukuoka,福岡県,3041739,2052213,1992479,3,8
11,41,Saga,佐賀県,587437,453706,442343,1,3
11,42,Nagasaki,長崎県,1042701,756486,716753,1,3
11,43,Kumamoto,熊本県,1224246,959344,910010,2,4
11,44,Oita,大分県,851060,671923,657976,1,3
11,45,Miyazaki,宮崎県,768766,561357,543332,1,3
11,46,Kagoshima,鹿児島県,1226041,927433,906408,2,5
11,47,Okinawa,沖縄県,660101,501829,479659,1,2
12,1,Hokkaido,北海道,3846154,2933701,2834769,4,7
12,2,Aomori,青森県,1068556,789669,726703,1,3
12,3,Iwate,岩手県,1007410,759372,714214,1,3
12,4,Miyagi,宮城県,1442371,1085071,1015155,1,3
12,5,Akita,秋田県,918042,738666,681058,1,3
12,6,Yamagata,山形県,909229,752041,717515,1,3
12,7,Fukushima,福島県,1425216,1152235,1101456,2,5
12,8,Ibaraki,茨城県,1758965,1283370,1228439,2,4
12,9,Tochigi,栃木県,1240702,916638,857674,2,5
12,10,Gunma,群馬県,1280446,1035513,995608,2,4
12,11,Saitama,埼玉県,3535581,2483645,2225605,2,5
12,12,Chiba,千葉県,3147776,2185477,2008537,2,5
12,13,Tokyo,東京都,8206811,5537288,5308894,4,11
12,14,Kanagawa,神奈川県,4685526,3277360,3150505,2,9
12,15,Nigata,新潟県,1737780,1455123,1249621,2,3
12,16,Toyama,富山県,784782,646002,628713,1,3
12,17,Ishikawa,石川県,776124,608233,549087,1,3
12,18,Fukui,福井県,559596,477815,469379,1,3
12,19,Yamanashi,山梨県,566837,479091,456824,1,3
12,20,Nagano,長野県,1483016,1186732,1123330,2,3
12,21,Gifu,岐阜県,1347639,1081976,1036145,1,4
12,22,Shizuoka,静岡県,2384519,1901873,1819942,2,5
12,23,Aichi,愛知県,4153138,3031238,2919499,3,6
12,24,Mie,三重県,1183535,940174,888391,1,3
12,25,Shiga,滋賀県,735714,565247,537145,1,3
12,26,Kyoto,京都府,1759317,1193951,1062906,2,3
12,27,Osaka,大阪府,5700825,3841150,3709319,3,8
12,28,Hyogo,兵庫県,3548604,2541716,2420840,3,7
12,29,Nara,奈良県,821471,609328,537014,1,3
12,30,Wakayama,和歌山県,775658,577629,473724,1,3
12,31,Tottori,鳥取県,435983,369985,335197,1,3
12,32,Shimane,島根県,569608,498899,472229,1,3
12,33,Okayama,岡山県,1334279,1040929,966198,2,4
12,34,Hiroshima,広島県,1900473,1443149,1365743,2,4
12,35,Yamaguchi,山口県,1131647,879422,798936,1,3
12,36,Tokushima,徳島県,601648,463574,419306,1,3
12,37,Kagawa,香川県,714167,562553,506893,1,4
12,38,Ehime,愛媛県,1076154,835264,782681,1,3
12,39,Kochi,高知県,613843,447087,403353,1,3
12,40,Fukuoka,福岡県,3156086,2381647,2245820,3,6
12,41,Saga,佐賀県,606608,515592,487076,1,3
12,42,Nagasaki,長崎県,1076590,846888,775723,1,3
12,43,Kumamoto,熊本県,1270894,1018133,917794,2,4
12,44,Oita,大分県,876059,755036,682080,1,2
12,45,Miyazaki,宮崎県,803605,654113,619022,1,4
12,46,Kagoshima,鹿児島県,1268400,987160,942976,2,5
12,47,Okinawa,沖縄県,697650,552387,531519,1,2
13,1,Hokkaido,北海道,3977673,2271861,2192515,4,7
13,2,Aomori,青森県,1095511,591403,577157,1,5
13,3,Iwate,岩手県,1033055,597062,575447,1,3
13,4,Miyagi,宮城県,1498799,807180,772377,1,3
13,5,Akita,秋田県,934592,595525,576388,1,3
13,6,Yamagata,山形県,925627,603806,585414,1,3
13,7,Fukushima,福島県,1465927,1006995,980948,2,4
13,8,Ibaraki,茨城県,1851361,938857,902742,2,4
13,9,Tochigi,栃木県,1282966,709563,692839,2,5
13,10,Gunma,群馬県,1325243,896616,871845,2,4
13,11,Saitama,埼玉県,3768850,1907142,1825260,2,6
13,12,Chiba,千葉県,3379093,1662140,1581322,2,5
13,13,Tokyo,東京都,8416093,4364985,4278404,4,34
13,14,Kanagawa,神奈川県,4952831,2642372,2581826,2,15
13,15,Nigata,新潟県,1773348,1119367,1072191,2,5
13,16,Toyama,富山県,799839,465841,452315,1,3
13,17,Ishikawa,石川県,799337,435754,412208,1,3
13,18,Fukui,福井県,574167,351729,342830,1,4
13,19,Yamanashi,山梨県,583832,399345,390376,1,3
13,20,Nagano,長野県,1517076,968053,937731,2,4
13,21,Gifu,岐阜県,1392564,816010,783062,1,4
13,22,Shizuoka,静岡県,2462065,1504575,1461272,2,5
13,23,Aichi,愛知県,4304537,2331645,2291370,3,7
13,24,Mie,三重県,1224187,743186,716088,1,3
13,25,Shiga,滋賀県,773255,490490,477908,1,4
13,26,Kyoto,京都府,1801358,937098,881554,2,3
13,27,Osaka,大阪府,5844836,3331005,3277638,3,20
13,28,Hyogo,兵庫県,3642390,2029521,2000038,3,6
13,29,Nara,奈良県,875010,481577,452210,1,4
13,30,Wakayama,和歌山県,788134,457204,420306,1,3
13,31,Tottori,鳥取県,445696,333345,325941,1,3
13,32,Shimane,島根県,578901,436300,427508,1,3
13,33,Okayama,岡山県,1362556,750168,715684,2,4
13,34,Hiroshima,広島県,1956225,1047081,1001023,2,3
13,35,Yamaguchi,山口県,1149655,667341,627191,1,4
13,36,Tokushima,徳島県,610835,304267,287306,1,4
13,37,Kagawa,香川県,730640,407353,386482,1,3
13,38,Ehime,愛媛県,1097673,635854,607700,1,3
13,39,Kochi,高知県,622916,381676,358608,1,3
13,40,Fukuoka,福岡県,3270785,1858362,1816223,3,5
13,41,Saga,佐賀県,621089,372564,360374,1,3
13,42,Nagasaki,長崎県,1103860,619605,582352,1,3
13,43,Kumamoto,熊本県,1309156,837916,811784,2,4
13,44,Oita,大分県,895918,631256,616595,1,3
13,45,Miyazaki,宮崎県,830906,491051,470969,1,3
13,46,Kagoshima,鹿児島県,1296267,917518,900108,2,4
13,47,Okinawa,沖縄県,735782,550795,540896,1,2
14,1,Hokkaido,北海道,4071178,3014245,2837969,4,8
14,2,Aomori,青森県,1111165,825791,784223,1,4
14,3,Iwate,岩手県,1046462,799102,755530,1,4
14,4,Miyagi,宮城県,1545439,1107973,1034547,1,4
14,5,Akita,秋田県,939252,762976,713809,1,3
14,6,Yamagata,山形県,933983,770074,717059,1,3
14,7,Fukushima,福島県,1493332,1171091,1116520,2,4
14,8,Ibaraki,茨城県,1924439,1379300,1309031,2,4
14,9,Tochigi,栃木県,1323307,935823,901706,2,4
14,10,Gunma,群馬県,1367045,1098322,1058291,2,4
14,11,Saitama,埼玉県,4021812,2618756,2355391,2,9
14,12,Chiba,千葉県,3589110,2303950,2069944,2,8
14,13,Tokyo,東京都,8727389,5330072,5068636,4,50
14,14,Kanagawa,神奈川県,5281965,3280887,3082619,2,14
14,15,Nigata,新潟県,1801124,1428123,1252030,2,4
14,16,Toyama,富山県,813800,666632,642519,1,3
14,17,Ishikawa,石川県,817965,598603,540108,1,3
14,18,Fukui,福井県,586839,474624,450545,1,3
14,19,Yamanashi,山梨県,603433,501212,460874,1,2
14,20,Nagano,長野県,1554667,1258634,1200237,2,6
14,21,Gifu,岐阜県,1435033,1130205,1061161,1,3
14,22,Shizuoka,静岡県,2542263,1898752,1804431,2,4
14,23,Aichi,愛知県,4482645,3029999,2928333,3,6
14,24,Mie,三重県,1258144,977231,912969,1,3
14,25,Shiga,滋賀県,807393,629702,601882,1,3
14,26,Kyoto,京都府,1844932,1151926,1056812,2,4
14,27,Osaka,大阪府,6055160,4024268,3918920,3,21
14,28,Hyogo,兵庫県,3744326,2589625,2483523,3,6
14,29,Nara,奈良県,920842,675737,598568,1,3
14,30,Wakayama,和歌山県,795453,621590,515021,1,3
14,31,Tottori,鳥取県,451202,387207,353548,1,3
14,32,Shimane,島根県,583871,507337,470186,1,3
14,33,Okayama,岡山県,1386403,1027272,969514,2,5
14,34,Hiroshima,広島県,2004858,1492727,1437036,2,4
14,35,Yamaguchi,山口県,1159093,889996,820939,1,4
14,36,Tokushima,徳島県,618478,434602,381865,1,3
14,37,Kagawa,香川県,743934,572827,508479,1,3
14,38,Ehime,愛媛県,1116562,845974,773462,1,3
14,39,Kochi,高知県,627119,451600,397903,1,3
14,40,Fukuoka,福岡県,3355962,2501021,2385098,3,7
14,41,Saga,佐賀県,629455,515954,485269,1,3
14,42,Nagasaki,長崎県,1123630,885124,831459,1,4
14,43,Kumamoto,熊本県,1337791,1046568,958045,2,4
14,44,Oita,大分県,907469,740436,707635,1,3
14,45,Miyazaki,宮崎県,843847,699745,671226,1,4
14,46,Kagoshima,鹿児島県,1317160,1013847,966921,2,4
14,47,Okinawa,沖縄県,780114,605908,586444,1,3
15,1,Hokkaido,北海道,4171987,2957891,2865445,4,9
15,2,Aomori,青森県,1126981,692515,677963,1,5
15,3,Iwate,岩手県,1063280,753886,737480,1,3
15,4,Miyagi,宮城県,1611384,985948,955566,1,7
15,5,Akita,秋田県,943213,702574,684796,1,3
15,6,Yamagata,山形県,945006,710638,693244,1,4
15,7,Fukushima,福島県,1533867,1099620,1076145,2,4
15,8,Ibaraki,茨城県,2021966,1243679,1203267,2,4
15,9,Tochigi,栃木県,1378615,856726,837762,2,5
15,10,Gunma,群馬県,1418891,1010620,985503,2,7
15,11,Saitama,埼玉県,4412439,2623327,2502429,2,12
15,12,Chiba,千葉県,3904016,2200765,2094379,2,14
15,13,Tokyo,東京都,8991056,5210128,5128950,4,43
15,14,Kanagawa,神奈川県,5724909,3368329,3246063,2,13
15,15,Nigata,新潟県,1837898,1166722,1121511,2,4
15,16,Toyama,富山県,833377,605200,593725,1,3
15,17,Ishikawa,石川県,841380,609058,592095,1,4
15,18,Fukui,福井県,599051,448608,440392,1,3
15,19,Yamanashi,山梨県,626847,472471,463340,1,3
15,20,Nagano,長野県,1595169,1145050,1116894,2,4
15,21,Gifu,岐阜県,1491296,1026103,1002750,1,5
15,22,Shizuoka,静岡県,2652696,1791343,1721658,2,9
15,23,Aichi,愛知県,4716324,2959590,2917691,3,7
15,24,Mie,三重県,1305745,879073,859998,1,3
15,25,Shiga,滋賀県,849830,631289,620865,1,3
15,26,Kyoto,京都府,1887971,1201201,1160605,2,5
15,27,Osaka,大阪府,6303707,3938070,3881132,3,15
15,28,Hyogo,兵庫県,3894385,2531562,2494817,3,8
15,29,Nara,奈良県,978991,631165,607830,1,4
15,30,Wakayama,和歌山県,806768,566481,530116,1,3
15,31,Tottori,鳥取県,458068,360566,349653,1,3
15,32,Shimane,島根県,589723,485450,477058,1,4
15,33,Okayama,岡山県,1420121,956859,937712,2,6
15,34,Hiroshima,広島県,2065267,1340908,1313102,2,4
15,35,Yamaguchi,山口県,1177700,827593,798929,1,3
15,36,Tokushima,徳島県,627707,411721,397003,1,3
15,37,Kagawa,香川県,761263,518773,500370,1,3
15,38,Ehime,愛媛県,1137581,775472,754072,1,4
15,39,Kochi,高知県,634624,447539,425157,1,3
15,40,Fukuoka,福岡県,3465908,2264269,2223317,3,7
15,41,Saga,佐賀県,638197,454080,441349,1,4
15,42,Nagasaki,長崎県,1139474,796486,767949,1,5
15,43,Kumamoto,熊本県,1363219,989315,958692,2,5
15,44,Oita,大分県,922519,690109,675436,1,3
15,45,Miyazaki,宮崎県,860764,620857,607466,1,5
15,46,Kagoshima,鹿児島県,1341109,920281,900403,2,4
15,47,Okinawa,沖縄県,819069,566455,557555,1,3
16,1,Hokkaido,北海道,4291607,2533880,2480242,4,8
16,2,Aomori,青森県,1135441,498088,481585,1,3
16,3,Iwate,岩手県,1078016,639414,622861,1,3
16,4,Miyagi,宮城県,1680411,814709,784179,1,4
16,5,Akita,秋田県,948130,583962,566695,1,3
16,6,Yamagata,山形県,952950,585957,568669,1,3
16,7,Fukushima,福島県,1569596,928050,898807,2,5
16,8,Ibaraki,茨城県,2136790,782499,729439,2,3
16,9,Tochigi,栃木県,1439266,774114,756568,2,5
16,10,Gunma,群馬県,1476958,837227,811982,2,4
16,11,Saitama,埼玉県,4800729,1821181,1674607,2,10
16,12,Chiba,千葉県,4188051,1707285,1553769,2,7
16,13,Tokyo,東京都,9228296,4298109,4148566,4,52
16,14,Kanagawa,神奈川県,6109757,2630907,2466266,2,13
16,15,Nigata,新潟県,1872849,1030348,989390,2,4
16,16,Toyama,富山県,854480,477721,463735,1,3
16,17,Ishikawa,石川県,866882,481959,460566,1,3
16,18,Fukui,福井県,612037,373032,363379,1,3
16,19,Yamanashi,山梨県,649959,462658,454658,1,4
16,20,Nagano,長野県,1639382,971581,937405,2,4
16,21,Gifu,岐阜県,1547870,859143,822638,1,4
16,22,Shizuoka,静岡県,2756903,1300169,1217054,2,5
16,23,Aichi,愛知県,4956890,2329420,2258911,3,34
16,24,Mie,三重県,1358277,726598,700877,1,3
16,25,Shiga,滋賀県,900317,552097,537767,1,3
16,26,Kyoto,京都府,1937736,961979,917916,2,4
16,27,Osaka,大阪府,6507412,3251325,3185508,3,32
16,28,Hyogo,兵庫県,4063238,2065245,2025167,3,10
16,29,Nara,奈良県,1036652,550986,528271,1,4
16,30,Wakayama,和歌山県,825850,438736,398346,1,3
16,31,Tottori,鳥取県,463866,312114,298473,1,4
16,32,Shimane,島根県,592034,436878,425797,1,3
16,33,Okayama,岡山県,1458376,699088,644809,2,5
16,34,Hiroshima,広島県,2134598,1063570,1025355,2,4
16,35,Yamaguchi,山口県,1190408,772154,719091,1,4
16,36,Tokushima,徳島県,638457,309160,289252,1,3
16,37,Kagawa,香川県,778930,419065,399165,1,3
16,38,Ehime,愛媛県,1157218,628491,601085,1,3
16,39,Kochi,高知県,638658,350606,333786,1,4
16,40,Fukuoka,福岡県,3585683,1829735,1791564,3,7
16,41,Saga,佐賀県,647782,378271,364254,1,3
16,42,Nagasaki,長崎県,1147700,614238,582292,1,3
16,43,Kumamoto,熊本県,1386373,849099,803453,2,7
16,44,Oita,大分県,937413,609178,593668,1,3
16,45,Miyazaki,宮崎県,873957,476283,457817,1,3
16,46,Kagoshima,鹿児島県,1348345,782593,757547,2,4
16,47,Okinawa,沖縄県,851495,498177,489977,1,2
17,1,Hokkaido,北海道,4444356,2085300,2017511,2,6
17,2,Aomori,青森県,1159797,534675,524980,1,5
17,3,Iwate,岩手県,1103873,622611,607472,1,3
17,4,Miyagi,宮城県,1756073,721038,697522,2,5
17,5,Akita,秋田県,959822,546911,533108,1,5
17,6,Yamagata,山形県,968697,572087,556987,1,4
17,7,Fukushima,福島県,1616529,836450,812939,2,5
17,8,Ibaraki,茨城県,2244330,829166,803997,2,6
17,9,Tochigi,栃木県,1503049,540185,514743,2,4
17,10,Gunma,群馬県,1535604,815681,787711,2,4
17,11,Saitama,埼玉県,5139213,2000345,1929076,3,10
17,12,Chiba,千葉県,4444522,1683463,1617008,2,8
17,13,Tokyo,東京都,9419153,3988389,3820327,4,72
17,14,Kanagawa,神奈川県,6421453,2624817,2544604,3,14
