index,country,year,gdp,infrate,trade,schooling,invest60,invest70,invest80,industry
3,Austria,1963,2074,2.70877,47.977253,NA,NA,NA,NA,NA
3,Austria,1964,2224,3.868571,48.415096,NA,NA,NA,NA,NA
3,Austria,1965,2336,4.930911,49.6133,47.6,NA,NA,NA,NA
3,Austria,1966,2537,2.205882,50.31641,NA,NA,NA,NA,NA
3,Austria,1967,2668,3.975,49.683853,NA,NA,NA,NA,NA
3,Austria,1968,2908,2.773103,50.410915,NA,NA,NA,NA,NA
3,Austria,1969,3239,3.080402,54.232513,NA,NA,NA,NA,NA
3,Austria,1970,3732,4.372825,59.711964,46.5,NA,NA,NA,NA
3,Austria,1971,4100,4.704262,59.185368,NA,NA,NA,NA,41.21851
3,Austria,1972,4513,6.362063,59.09092,NA,NA,NA,NA,41.52563
3,Austria,1973,4969,7.524082,59.26243,NA,NA,NA,NA,42.23682
3,Austria,1974,5622,9.521791,64.81173,NA,NA,NA,NA,42.26027
3,Austria,1975,6147,8.445255,61.598152,45.6,NA,NA,NA,40.12814
3,Austria,1976,6810,7.318689,65.17087,NA,NA,NA,NA,39.3979
3,Austria,1977,7588,5.475,65.20969,NA,NA,NA,NA,39.05883
3,Austria,1978,8117,3.579047,64.74067,NA,NA,NA,NA,39.23565
3,Austria,1979,9288,3.707094,69.698715000000007,NA,NA,NA,NA,38.1772
3,Austria,1980,10312,6.32539,73.99586,61.8,0.26338,0.31104,26.642,38.09647
3,Austria,1981,11242,6.806862,76.07967,NA,NA,NA,NA,37.83085
3,Austria,1982,12148,5.440414,71.684555,NA,NA,NA,NA,36.90459
3,Austria,1983,13048,3.335381,70.53411,NA,NA,NA,NA,36.41043
3,Austria,1984,13533,5.664864,75.512695,NA,NA,NA,NA,35.23595
3,Austria,1985,14296,3.189694,79.065735,60,NA,NA,NA,35.58244
3,Austria,1986,14921,1.700921,70.925285,NA,NA,NA,NA,35.29153
3,Austria,1987,15549,1.4,69.633995,NA,NA,NA,NA,34.79196
3,Austria,1988,16595,1.931295,74.93547,NA,NA,NA,NA,34.58339
3,Austria,1989,17768,2.563896,78.906845,NA,NA,NA,NA,34.11145
3,Austria,1990,19070,3.262322,79.02966,57.9,NA,NA,NA,34.11053
3,Austria,1991,20172,3.334348,78.7691,NA,NA,NA,NA,33.98061
3,Austria,1992,20960,4.029763,76.00291,NA,NA,NA,NA,33.03325
3,Austria,1993,21220,3.625806,73.35833,NA,NA,NA,NA,32.18623
3,Austria,1994,22139,2.959065,75.14964,NA,NA,NA,NA,32.13828
3,Austria,1995,22976,2.2501,77.78494,55.7,NA,NA,NA,32.44965
3,Austria,1996,24008,1.843557,80.74392,NA,NA,NA,NA,32.29562
3,Austria,1997,24472,1.325,85.25793,NA,NA,NA,NA,32.72698
3,Austria,1998,25314,0.9046797,NA,NA,NA,NA,NA,32.84259
3,Austria,1999,26558,0.562393,NA,NA,NA,NA,NA,32.90003
3,Austria,2000,28359,2.350462,NA,55,NA,NA,NA,32.77485
3,Austria,2001,28855,2.659962,NA,NA,NA,NA,NA,32.1686
3,Austria,2002,29942,1.810212,NA,NA,NA,NA,NA,31.98478
3,Austria,2003,30796,1.363419,NA,NA,NA,NA,NA,31.73713
4,Belgium,1960,1782,NA,77.34178,27.1,NA,NA,NA,NA
4,Belgium,1961,1883,0.9831461,80.01627,NA,NA,NA,NA,NA
4,Belgium,1962,2018,1.404729,82.43776,NA,NA,NA,NA,NA
4,Belgium,1963,2122,2.15334,85.66539,NA,NA,NA,NA,NA
4,Belgium,1964,2288,4.175618,86.62045,NA,NA,NA,NA,NA
4,Belgium,1965,2414,4.059802,85.26191,28.5,NA,NA,NA,NA
4,Belgium,1966,2559,4.173892,89.370125,NA,NA,NA,NA,NA
4,Belgium,1967,2719,2.912852,86.23965,NA,NA,NA,NA,NA
4,Belgium,1968,2958,2.703327,90.62302,NA,NA,NA,NA,NA
4,Belgium,1969,3308,3.745782,97.94964,NA,NA,NA,NA,NA
4,Belgium,1970,3797,3.914128,100.42813,28.7,NA,NA,NA,NA
4,Belgium,1971,4129,4.340568,97.9751,NA,NA,NA,NA,42.50227
4,Belgium,1972,4512,5.4475,97.54892,NA,NA,NA,NA,41.94415
4,Belgium,1973,5039,6.955278,107.77507,NA,NA,NA,NA,42.51509
4,Belgium,1974,5707,12.67789,120.51753,NA,NA,NA,NA,43.29301
4,Belgium,1975,6146,12.7682,104.77955,30.3,NA,NA,NA,40.01701
4,Belgium,1976,6854,9.1587,110.838104,NA,NA,NA,NA,40.13395
4,Belgium,1977,7326,7.110848,109.5376,NA,NA,NA,NA,39.49528
4,Belgium,1978,8056,4.470595,105.68562,NA,NA,NA,NA,38.45702
4,Belgium,1979,8921,4.469084,116.28985,NA,NA,NA,NA,38.20924
4,Belgium,1980,10156,6.650975,117.16876,31.6,0.26864,0.28246,21.876,36.84375
4,Belgium,1981,11079,7.628274,126.35263,NA,NA,NA,NA,34.46517
4,Belgium,1982,11827,8.725851,134.42366,NA,NA,NA,NA,34.4062
4,Belgium,1983,12334,7.66337,137.18913,NA,NA,NA,NA,34.14059
4,Belgium,1984,13113,6.347517,146.64285,NA,NA,NA,NA,33.48085
4,Belgium,1985,13735,4.867676,140.55513,32.6,NA,NA,NA,34.2135
4,Belgium,1986,14292,1.295501,126.71104,NA,NA,NA,NA,33.22915
4,Belgium,1987,15013,1.554483,122.64662,NA,NA,NA,NA,32.1018
4,Belgium,1988,16209,1.162051,129.20561,NA,NA,NA,NA,32.88089
4,Belgium,1989,17345,3.10545,138.38467,NA,NA,NA,NA,33.22943
4,Belgium,1990,18526,3.452823,134.00658,32.6,NA,NA,NA,32.6643
4,Belgium,1991,19453,3.208552,130.8264,NA,NA,NA,NA,30.66162
4,Belgium,1992,20123,2.429914,126.43597,NA,NA,NA,NA,30.11093
4,Belgium,1993,20308,2.753963,120.23799,NA,NA,NA,NA,28.99867
4,Belgium,1994,21340,2.377799,125.53788,NA,NA,NA,NA,28.92364
4,Belgium,1995,22248,1.466814,129.36067,30.5,NA,NA,NA,29.53443
4,Belgium,1996,22687,2.058919,131.87495,NA,NA,NA,NA,29.14131
4,Belgium,1997,23416,1.627459,141.31438,NA,NA,NA,NA,29.25781
4,Belgium,1998,24164,0.9536226,149.6824,NA,NA,NA,NA,28.63953
4,Belgium,1999,24792,1.119242,NA,NA,NA,NA,NA,27.95392
4,Belgium,2000,26631,2.546246,NA,28,NA,NA,NA,28.08952
4,Belgium,2001,28001,2.471273,NA,NA,NA,NA,NA,27.25738
4,Belgium,2002,29330,1.643454,NA,NA,NA,NA,NA,27.01092
4,Belgium,2003,30082,1.591312,NA,NA,NA,NA,NA,26.48478
5,Denmark,1960,2329,NA,65.782196,46.1,NA,NA,NA,NA
5,Denmark,1961,2485,3.451629,61.540672,NA,NA,NA,NA,NA
5,Denmark,1962,2665,7.37782,60.33738,NA,NA,NA,NA,NA
5,Denmark,1963,2700,6.105033,60.416042,NA,NA,NA,NA,NA
5,Denmark,1964,2980,3.092783,61.6781,NA,NA,NA,NA,NA
5,Denmark,1965,3177,5.45,61.38874,45.5,NA,NA,NA,NA
5,Denmark,1966,3377,7.06496,59.87274,NA,NA,NA,NA,NA
5,Denmark,1967,3580,8.207853,57.854730000000004,NA,NA,NA,NA,NA
5,Denmark,1968,3892,7.953615,57.879894,NA,NA,NA,NA,NA
5,Denmark,1969,4352,3.487931,58.468327,NA,NA,NA,NA,NA
5,Denmark,1970,4541,6.514837,60.321808,44.5,NA,NA,NA,NA
5,Denmark,1971,4858,5.869877,58.494747,NA,NA,NA,NA,31.78034
5,Denmark,1972,5262,6.562348,54.942623,NA,NA,NA,NA,31.53147
5,Denmark,1973,5719,9.303389,60.465103,NA,NA,NA,NA,30.28473
5,Denmark,1974,6121,15.2752,68.138985,NA,NA,NA,NA,29.58704
5,Denmark,1975,6565,9.605614,62.650646,44.9,NA,NA,NA,29.25056
5,Denmark,1976,7371,9,63.949295,NA,NA,NA,NA,28.24987
5,Denmark,1977,7901,11.13914,62.842953,NA,NA,NA,NA,28.02203
5,Denmark,1978,8585,10.00894,59.20886,NA,NA,NA,NA,27.56307
5,Denmark,1979,9566,9.611055,62.88595,NA,NA,NA,NA,26.88064
5,Denmark,1980,10362,12.30532,68.160645,43.4,0.29344,0.33284,22.217999,28.23314
5,Denmark,1981,11106,11.79159,74.18737,NA,NA,NA,NA,26.5771
5,Denmark,1982,12115,10.08994,74.13429,NA,NA,NA,NA,26.75725
5,Denmark,1983,12822,6.907309,72.48873,NA,NA,NA,NA,26.98976
5,Denmark,1984,13777,6.322079,73.978584,NA,NA,NA,NA,27.29058
5,Denmark,1985,14698,4.652379,74.85047,42.5,NA,NA,NA,27.62063
5,Denmark,1986,15608,3.721279,66.16891,NA,NA,NA,NA,28.24608
5,Denmark,1987,16024,3.985071,62.581482,NA,NA,NA,NA,27.91802
5,Denmark,1988,16766,4.550191,63.53234,NA,NA,NA,NA,27.08609
5,Denmark,1989,17418,4.784053,67.06669,NA,NA,NA,NA,27.02068
5,Denmark,1990,18237,2.652716,66.58468,49.9,NA,NA,NA,26.54429
5,Denmark,1991,19070,2.36796,68.53211,NA,NA,NA,NA,26.16956
5,Denmark,1992,19829,2.101981,66.43089,NA,NA,NA,NA,26.34534
5,Denmark,1993,20199,1.250985,63.97609,NA,NA,NA,NA,25.19012
5,Denmark,1994,21691,1.994357,65.61267,NA,NA,NA,NA,25.31154
5,Denmark,1995,22693,2.098436,66.71786,47,NA,NA,NA,25.75751
5,Denmark,1996,23781,2.11136,66.07381,NA,NA,NA,NA,25.95113
5,Denmark,1997,24878,2.195791,68.58707,NA,NA,NA,NA,26.04515
5,Denmark,1998,25669,1.853178,NA,NA,NA,NA,NA,26.00064
5,Denmark,1999,27113,2.478685,NA,NA,NA,NA,NA,26.2223
5,Denmark,2000,28798,2.924779,NA,46.5,NA,NA,NA,27.18491
5,Denmark,2001,29837,2.35,NA,NA,NA,NA,NA,26.28203
5,Denmark,2002,30318,2.4263150000000002,NA,NA,NA,NA,NA,26.40067
5,Denmark,2003,30853,2.09062,NA,NA,NA,NA,NA,26.40539
6,France,1960,1858,NA,26.919622,25.7,NA,NA,NA,NA
6,France,1961,1959,2.414562,26.21155,NA,NA,NA,NA,NA
6,France,1962,2099,5.24725,24.89856,NA,NA,NA,NA,NA
6,France,1963,2205,4.93969,25.005909,NA,NA,NA,NA,NA
6,France,1964,2367,3.229338,25.622961,NA,NA,NA,NA,NA
6,France,1965,2526,2.71474,25.749504,25.8,NA,NA,NA,NA
6,France,1966,2728,2.570721,26.47594,NA,NA,NA,NA,NA
6,France,1967,2915,2.818319,26.188457,NA,NA,NA,NA,NA
6,France,1968,3163,4.552129,26.57132,NA,NA,NA,NA,NA
6,France,1969,3531,6.039326,28.73958,NA,NA,NA,NA,NA
6,France,1970,3857,5.845475,31.08583,26,NA,NA,NA,NA
6,France,1971,4203,5.397514,31.760962,NA,NA,NA,NA,38.64927
6,France,1972,4535,6.063004,32.39192,NA,NA,NA,NA,38.6979
6,France,1973,5008,7.380597,34.27934,NA,NA,NA,NA,37.94067
6,France,1974,5594,13.64932,42.390965,NA,NA,NA,NA,37.56777
6,France,1975,6077,11.68593,36.927505,26.8,NA,NA,NA,37.66209
6,France,1976,6673,9.625493,39.892372,NA,NA,NA,NA,37.49077
6,France,1977,7292,9.494556,40.849865,NA,NA,NA,NA,36.88102
6,France,1978,8031,9.250559,39.48853,NA,NA,NA,NA,36.23006
6,France,1979,8948,10.64674,41.87905,NA,NA,NA,NA,35.84073
6,France,1980,9891,13.53911,44.269318,34.5,0.27806,0.3287,27.236,36.0303
6,France,1981,10929,13.33333,46.10194,NA,NA,NA,NA,35.17299
6,France,1982,11869,11.97848,45.501305,NA,NA,NA,NA,34.09864
6,France,1983,12518,9.459548,45.12784,NA,NA,NA,NA,33.51458
6,France,1984,13145,7.673803,47.646427,NA,NA,NA,NA,33.12116
6,France,1985,13746,5.831099,47.159176,36.3,NA,NA,NA,32.78713
6,France,1986,14308,2.538527,41.344673,NA,NA,NA,NA,31.80395
6,France,1987,14940,3.288898,41.14437,NA,NA,NA,NA,30.94018
6,France,1988,16040,2.700817,42.526455,NA,NA,NA,NA,30.74395
6,France,1989,17193,3.498302,45.686443,NA,NA,NA,NA,30.22196
6,France,1990,18244,3.380057,45.13057,36.9,NA,NA,NA,29.69998
6,France,1991,19021,3.216935,45.04747,NA,NA,NA,NA,29.52016
6,France,1992,19746,2.365765,44.02612,NA,NA,NA,NA,29.15713
6,France,1993,19920,2.10601,41.84121,NA,NA,NA,NA,27.45125
6,France,1994,20695,1.660873,43.40138,NA,NA,NA,NA,27.18095
6,France,1995,21545,1.778116,44.69141,37.3,NA,NA,NA,27.2759
6,France,1996,22288,2.008362,45.60446,NA,NA,NA,NA,26.60661
6,France,1997,23370,1.2003219999999999,49.3604,NA,NA,NA,NA,26.04123
6,France,1998,24412,0.6725971,NA,NA,NA,NA,NA,25.94564
6,France,1999,25111,0.5,NA,NA,NA,NA,NA,25.49264
6,France,2000,26690,1.691542,NA,37.3,NA,NA,NA,25.48119
6,France,2001,28043,1.663405,NA,NA,NA,NA,NA,25.5017
6,France,2002,28829,1.924928,NA,NA,NA,NA,NA,25.30812
6,France,2003,29210,2.101039,NA,NA,NA,NA,NA,24.47357
7,West Germany,1960,2284,NA,35.459682,61,NA,NA,NA,44.987244
7,West Germany,1961,2388,2.5157232,33.836784,NA,NA,NA,NA,NA
7,West Germany,1962,2527,2.7607362,33.466377,NA,NA,NA,NA,NA
7,West Germany,1963,2610,2.9850745,34.16063,NA,NA,NA,NA,NA
7,West Germany,1964,2806,2.3188405,34.56614,NA,NA,NA,NA,NA
7,West Germany,1965,3005,3.3994334,35.8168,58.9,NA,NA,NA,NA
7,West Germany,1966,3168,3.5616438,36.628227,NA,NA,NA,NA,NA
7,West Germany,1967,3241,1.5873016,37.22666,NA,NA,NA,NA,NA
7,West Germany,1968,3571,1.0416666,39.09016,NA,NA,NA,NA,NA
7,West Germany,1969,3998,2.0618556,40.571236,NA,NA,NA,NA,NA
7,West Germany,1970,4367,3.2828283,40.31838,57,NA,NA,NA,38.217014
7,West Germany,1971,4686,5.1344743,39.739914,NA,NA,NA,NA,48.00126
7,West Germany,1972,5055,5.3488374,39.230003,NA,NA,NA,NA,46.94689
7,West Germany,1973,5553,6.843267,40.75988,NA,NA,NA,NA,46.53436
7,West Germany,1974,6074,6.818182,48.39369,NA,NA,NA,NA,45.70887
7,West Germany,1975,6603,5.9961314,46.45783,46.8,NA,NA,NA,43.37009
7,West Germany,1976,7367,4.379562,49.10308,NA,NA,NA,NA,43.61361
7,West Germany,1977,8090,3.4965036,48.564785,NA,NA,NA,NA,43.16602
7,West Germany,1978,8928,2.5337837,47.071793,NA,NA,NA,NA,42.96508
7,West Germany,1979,10067,3.7891269,49.485752,NA,NA,NA,NA,43.08099
7,West Germany,1980,11083,5.2380953,53.336185,52.5,0.33738,0.32564,27.017998,36.04203
7,West Germany,1981,12115,6.3348417,56.67342,NA,NA,NA,NA,35.42349
7,West Germany,1982,12761,5.390071,57.34184,NA,NA,NA,NA,34.778473
7,West Germany,1983,13519,3.230148,55.48264,NA,NA,NA,NA,35.085144
7,West Germany,1984,14481,2.3468058,58.791813,NA,NA,NA,NA,34.51585
7,West Germany,1985,15291,2.0382166,61.519432,58.5,NA,NA,NA,34.851387
7,West Germany,1986,15998,-0.2496879,55.117413,NA,NA,NA,NA,34.366795
7,West Germany,1987,16679,0.12515645,52.914875,NA,NA,NA,NA,34.090187
7,West Germany,1988,17786,1.125,53.910343,NA,NA,NA,NA,33.772335
7,West Germany,1989,18994,2.8430161,57.664852,NA,NA,NA,NA,33.96273
7,West Germany,1990,20465,2.7644231,58.3615,56.2,NA,NA,NA,NA
7,West Germany,1991,21602,3.74269,NA,NA,NA,NA,NA,NA
7,West Germany,1992,22154,4.0586247,NA,NA,NA,NA,NA,NA
7,West Germany,1993,21878,3.6836402,NA,NA,NA,NA,NA,NA
7,West Germany,1994,22371,2.8213167,NA,NA,NA,NA,NA,NA
7,West Germany,1995,23035,1.6260163,NA,NA,NA,NA,NA,NA
7,West Germany,1996,23742,1.3,NA,NA,NA,NA,NA,NA
7,West Germany,1997,24156,1.7769003,NA,NA,NA,NA,NA,NA
7,West Germany,1998,24931,0.8729389,NA,NA,NA,NA,NA,NA
7,West Germany,1999,25755,0.6730769,NA,NA,NA,NA,NA,NA
7,West Germany,2000,26943,NA,NA,NA,NA,NA,NA,NA
7,West Germany,2001,27449,NA,NA,NA,NA,NA,NA,NA
7,West Germany,2002,28348,NA,NA,NA,NA,NA,NA,NA
7,West Germany,2003,28855,NA,NA,NA,NA,NA,NA,NA
8,Italy,1960,1620,NA,26.57343,13.9,NA,NA,NA,NA
8,Italy,1961,1763,2.702703,26.883282,NA,NA,NA,NA,NA
8,Italy,1962,1900,3.947368,27.117237,NA,NA,NA,NA,NA
8,Italy,1963,2021,7.594937,27.785471,NA,NA,NA,NA,NA
8,Italy,1964,2093,5.882353,26.7552,NA,NA,NA,NA,NA
8,Italy,1965,2205,4.444445,27.677755,14.1,NA,NA,NA,NA
8,Italy,1966,2400,3.191489,29.030056,NA,NA,NA,NA,NA
8,Italy,1967,2624,3.092783,29.300257,NA,NA,NA,NA,NA
8,Italy,1968,2910,2,29.876673,NA,NA,NA,NA,NA
8,Italy,1969,3227,1.960784,31.844769,NA,NA,NA,NA,NA
8,Italy,1970,3602,4.807693,32.854187,17.5,NA,NA,NA,NA
8,Italy,1971,3834,5.504587,33.22466,NA,NA,NA,NA,40.38538
8,Italy,1972,4101,5.217391,34.73354,NA,NA,NA,NA,39.51487
8,Italy,1973,4594,10.7438,36.741856,NA,NA,NA,NA,40.68504
8,Italy,1974,5240,19.40298,44.55848,NA,NA,NA,NA,42.32259
8,Italy,1975,5601,16.875,41.32477,18.6,NA,NA,NA,41.31369
8,Italy,1976,6288,16.57754,45.4257,NA,NA,NA,NA,42.21162
8,Italy,1977,6821,17.43119,45.851334,NA,NA,NA,NA,41.67762
8,Italy,1978,7542,12.10938,45.114742,NA,NA,NA,NA,41.04507
8,Italy,1979,8594,14.63415,47.706306,NA,NA,NA,NA,40.67571
8,Italy,1980,9643,21.2766,46.654396,29.2,0.37278,0.32452,26.728,40.37956
8,Italy,1981,10593,17.79449,48.836246,NA,NA,NA,NA,39.03865
8,Italy,1982,11275,16.38298,47.112198,NA,NA,NA,NA,38.13298
8,Italy,1983,11812,14.62523,43.484116,NA,NA,NA,NA,36.95853
8,Italy,1984,12543,10.84529,45.80589,NA,NA,NA,NA,36.52842
8,Italy,1985,13285,9.208633,46.108475,30.3,NA,NA,NA,36.09994
8,Italy,1986,13896,5.797101,38.94103,NA,NA,NA,NA,34.897
8,Italy,1987,14688,4.732254,38.36825,NA,NA,NA,NA,34.5781
8,Italy,1988,15784,5.112961,37.962685,NA,NA,NA,NA,34.44107
8,Italy,1989,16875,6.221719,40.16734,NA,NA,NA,NA,34.55434
8,Italy,1990,17946,6.496273,40.0452,31.5,NA,NA,NA,33.898
8,Italy,1991,18845,6.3,37.988586,NA,NA,NA,NA,32.9108
8,Italy,1992,19367,5.079962,39.345406,NA,NA,NA,NA,32.38869
8,Italy,1993,19778,4.476276,42.431316,NA,NA,NA,NA,31.35425
8,Italy,1994,20577,4.027421,45.074287,NA,NA,NA,NA,31.30136
8,Italy,1995,21532,5.244371,51.2474,32.4,NA,NA,NA,31.50129
8,Italy,1996,22235,3.974524,48.17212,NA,NA,NA,NA,30.50213
8,Italy,1997,22810,2.043106,50.31563,NA,NA,NA,NA,30.06423
8,Italy,1998,23840,1.96294,NA,NA,NA,NA,NA,29.91003
8,Italy,1999,24402,1.655629,NA,NA,NA,NA,NA,29.31141
8,Italy,2000,25759,2.537687,NA,32,NA,NA,NA,29.04274
8,Italy,2001,26586,2.785166,NA,NA,NA,NA,NA,28.74293
8,Italy,2002,27320,2.46532,NA,NA,NA,NA,NA,28.28014
8,Italy,2003,27537,2.672559,NA,NA,NA,NA,NA,27.80482
9,Netherlands,1960,2113,NA,90.88709,11.1,NA,NA,NA,NA
9,Netherlands,1961,2111,1.732093,88.21291,NA,NA,NA,NA,NA
9,Netherlands,1962,2275,2.286038,86.70377,NA,NA,NA,NA,NA
9,Netherlands,1963,2360,3.343184,87.91217,NA,NA,NA,NA,NA
9,Netherlands,1964,2566,5.790884,86.53982,NA,NA,NA,NA,NA
9,Netherlands,1965,2739,5.794898,83.92977,13.6,NA,NA,NA,NA
9,Netherlands,1966,2874,5.79687,82.381424,NA,NA,NA,NA,NA
9,Netherlands,1967,3078,3.486793,79.59118,NA,NA,NA,NA,NA
9,Netherlands,1968,3399,3.675613,79.654465,NA,NA,NA,NA,NA
9,Netherlands,1969,3951,7.42825,82.78465,NA,NA,NA,NA,NA
9,Netherlands,1970,4342,3.679937,88.73793,45.8,NA,NA,NA,NA
