ID,Year,Pref,Pref_J,Ninka,Under5,Ninka_Rate,FemOccupRate,UnOccup
75,2005,28,Hyogo,"48,858","304,421",0.160,0.467235235,0.06530066
76,2005,29,Nara,"17,350","73,187",0.237,0.437823664,0.066228635
77,2005,30,Wakayama,"16,406","51,908",0.316,0.51961042,0.063445895
78,2005,31,Tottori,"16,930","31,743",0.533,0.62478252,0.055243271
79,2005,32,Shimane,"17,570","37,203",0.472,0.631631964,0.044425164
80,2005,33,Okayama,"16,495","106,005",0.156,0.56293773,0.052752396
81,2005,34,Hiroshima,"27,272","155,133",0.176,0.559300863,0.049534545
82,2005,35,Yamaguchi,"25,469","73,888",0.345,0.559260397,0.050517997
83,2005,36,Tokushima,"16,075","39,329",0.409,0.562757063,0.072985714
84,2005,37,Kagawa,"14,184","54,441",0.261,0.568341308,0.060638599
85,2005,38,Ehime,"20,657","74,124",0.279,0.543823794,0.063737175
86,2005,39,Kochi,"14,120","37,951",0.372,0.634249045,0.079150838
87,2005,40,Fukuoka,"52,635","268,822",0.196,0.517829954,0.074007144
88,2005,41,Saga,"19,175","48,860",0.392,0.600654298,0.05725343
89,2005,42,Nagasaki,"23,550","78,140",0.301,0.560942626,0.064814675
90,2005,43,Kumamoto,"31,940","98,173",0.325,0.595902009,0.059275471
91,2005,44,Oita,"14,330","61,584",0.233,0.56423541,0.061091584
92,2005,45,Miyazaki,"21,310","62,182",0.343,0.628175919,0.061331096
93,2005,46,Kagoshima,"22,743","92,994",0.245,0.588602683,0.068715221
94,2005,47,Okinanwa,"26,859","98,255",0.273,0.507612427,0.118537577
95,2010,1,Hokkaido,"40,121","241,273",0.166,0.509933161,0.071196347
96,2010,2,Aomori,"25,991","58,637",0.443,0.57617538,0.089777818
97,2010,3,Iwate,"20,834","60,132",0.346,0.585716877,0.070700335
98,2010,4,Miyagi,"16,435","114,679",0.143,0.500370208,0.077856174
99,2010,5,Akita,"17,601","43,174",0.408,0.580601975,0.069772688
100,2010,6,Yamagata,"20,386","53,896",0.378,0.617274041,0.057902551
101,2010,7,Fukushima,"17,841","98,816",0.181,0.557938473,0.071468607
102,2010,8,Ibaraki,"42,911","145,634",0.295,0.532415589,0.066823972
103,2010,9,Tochigi,"23,535","100,606",0.234,0.556042563,0.06284821
104,2010,10,Gunma,"34,920","98,865",0.353,0.583037658,0.063290292
105,2010,11,Saitama,"65,537","357,815",0.183,0.509036577,0.062960726
106,2010,12,Chiba,"52,671","301,937",0.174,0.485643633,0.061436289
107,2010,13,Tokyo,"173,532","580,801",0.299,0.475061259,0.058698947
108,2010,14,Kanagawa,"29,118","456,440",0.064,0.461887951,0.057555806
109,2010,15,Nigata,"42,634","109,227",0.390,0.6139893,0.055050612
110,2010,16,Toyama,"20,490","51,198",0.400,0.653774621,0.052132759
111,2010,17,Ishikawa,"27,079","59,284",0.457,0.657331609,0.053713181
112,2010,18,Fukui,"25,165","41,383",0.608,0.662452581,0.052360905
113,2010,19,Yamanashi,"21,103","40,537",0.521,0.589061616,0.061812742
114,2010,20,Nagano,"51,308","107,463",0.477,0.614377026,0.054463927
115,2010,21,Gifu,"40,462","104,292",0.388,0.590732791,0.055696941
116,2010,22,Shizuoka,"31,488","190,987",0.165,0.570481581,0.058122355
117,2010,23,Aichi,"91,925","405,858",0.226,0.544994305,0.050925162
118,2010,24,Mie,"39,996","92,063",0.434,0.583431863,0.050870983
119,2010,25,Shiga,"21,034","79,542",0.264,0.543224626,0.050718572
120,2010,26,Kyoto,"25,586","125,564",0.204,0.528656683,0.062126964
121,2010,27,Osaka,"66,596","431,631",0.154,0.466943227,0.079738654
122,2010,28,Hyogo,"39,269","280,399",0.140,0.483102901,0.065424704
123,2010,29,Nara,"17,536","66,260",0.265,0.454908734,0.074148804
124,2010,30,Wakayama,"16,179","44,996",0.360,0.536605819,0.067440475
125,2010,31,Tottori,"16,905","28,977",0.583,0.640411464,0.059032349
126,2010,32,Shimane,"20,140","34,143",0.590,0.653847416,0.045574635
127,2010,33,Okayama,"16,440","98,498",0.167,0.566996873,0.072414482
128,2010,34,Hiroshima,"25,927","147,232",0.176,0.561312598,0.053551512
129,2010,35,Yamaguchi,"20,550","67,918",0.303,0.566708078,0.059344937
130,2010,36,Tokushima,"15,755","34,755",0.453,0.572891845,0.076273509
131,2010,37,Kagawa,"12,330","48,910",0.252,0.58494548,0.062574374
132,2010,38,Ehime,"20,177","67,777",0.298,0.559475896,0.072600215
133,2010,39,Kochi,"12,765","33,561",0.380,0.62806873,0.076998565
134,2010,40,Fukuoka,"46,717","264,229",0.177,0.525317611,0.078475629
135,2010,41,Saga,"19,970","45,357",0.440,0.608336183,0.063259299
136,2010,42,Nagasaki,"23,161","70,551",0.328,0.576700291,0.066411006
137,2010,43,Kumamoto,"30,665","94,589",0.324,0.5987585,0.066777487
138,2010,44,Oita,"14,445","58,878",0.245,0.5753643,0.070779011
139,2010,45,Miyazaki,"18,631","59,656",0.312,0.636119732,0.070155017
140,2010,46,Kagoshima,"23,284","88,446",0.263,0.601098472,0.068466529
141,2010,47,Okinanwa,"30,748","96,019",0.320,0.528318977,0.110207948
142,2015,1,Hokkaido,"37,882","224,985",0.168,0.549742329,0.046197812
143,2015,2,Aomori,"20,185","52,187",0.387,0.628148777,0.053112927
144,2015,3,Iwate,"20,776","54,074",0.384,0.639916986,0.039880198
145,2015,4,Miyagi,"18,211","107,038",0.170,0.551179716,0.048676132
146,2015,5,Akita,"15,718","36,824",0.427,0.62709686,0.043369298
147,2015,6,Yamagata,"21,228","48,829",0.435,0.667348223,0.036102823
148,2015,7,Fukushima,"16,614","81,389",0.204,0.605739846,0.043917465
149,2015,8,Ibaraki,"46,063","130,742",0.352,0.583237347,0.044929141
150,2015,9,Tochigi,"25,668","90,582",0.283,0.592698126,0.043184155
151,2015,10,Gunma,"27,355","87,800",0.312,0.632481159,0.04252757
152,2015,11,Saitama,"74,133","337,830",0.219,0.550840471,0.042638091
153,2015,12,Chiba,"59,760","280,184",0.213,0.537540023,0.041228636
154,2015,13,Tokyo,"206,347","610,178",0.338,0.490703679,0.03863803
155,2015,14,Kanagawa,"34,126","432,465",0.079,0.509674724,0.039175724
156,2015,15,Nigata,"42,678","101,356",0.421,0.661939308,0.037035036
157,2015,16,Toyama,"19,555","45,691",0.428,0.695573853,0.031485236
158,2015,17,Ishikawa,"21,024","54,789",0.384,0.699361037,0.033721648
159,2015,18,Fukui,"23,655","37,596",0.629,0.712912575,0.032798246
160,2015,19,Yamanashi,"22,145","36,326",0.610,0.64438077,0.04394029
161,2015,20,Nagano,"51,808","96,491",0.537,0.660850867,0.03449558
162,2015,21,Gifu,"39,834","95,576",0.417,0.644911574,0.033741015
163,2015,22,Shizuoka,"32,532","175,119",0.186,0.615029552,0.039717407
164,2015,23,Aichi,"97,905","387,618",0.253,0.583102782,0.034281254
165,2015,24,Mie,"43,372","84,340",0.514,0.624313527,0.034258974
166,2015,25,Shiga,"19,524","76,556",0.255,0.594662799,0.034814807
167,2015,26,Kyoto,"27,043","115,835",0.233,0.576434827,0.043550263
168,2015,27,Osaka,"51,018","403,286",0.127,0.515462051,0.052922357
169,2015,28,Hyogo,"36,269","261,132",0.139,0.529688823,0.046308806
170,2015,29,Nara,"17,728","60,937",0.291,0.520490102,0.049096847
171,2015,30,Wakayama,"15,448","42,340",0.365,0.587274662,0.044735843
172,2015,31,Tottori,"15,757","27,532",0.572,0.683774295,0.039076583
173,2015,32,Shimane,"21,595","32,420",0.666,0.711833072,0.028898559
174,2015,33,Okayama,"16,372","92,859",0.176,0.62122714,0.041153293
175,2015,34,Hiroshima,"25,748","143,861",0.179,0.600713919,0.037455584
176,2015,35,Yamaguchi,"20,855","62,940",0.331,0.61037869,0.040299291
177,2015,36,Tokushima,"15,314","32,034",0.478,0.627694378,0.05004294
178,2015,37,Kagawa,"12,340","45,135",0.273,0.628062521,0.039940612
179,2015,38,Ehime,"19,578","62,471",0.313,0.612229809,0.044312408
180,2015,39,Kochi,"13,062","30,481",0.429,0.653171658,0.048911893
181,2015,40,Fukuoka,"50,235","263,831",0.190,0.562220383,0.052865444
182,2015,41,Saga,"20,418","43,403",0.470,0.65935108,0.04119767
183,2015,42,Nagasaki,"23,584","66,848",0.353,0.628232907,0.044127314
184,2015,43,Kumamoto,"34,170","93,233",0.367,0.649099029,0.045271545
185,2015,44,Oita,"12,996","55,307",0.235,0.627560866,0.045479648
186,2015,45,Miyazaki,"18,746","57,228",0.328,0.679719897,0.045983728
187,2015,46,Kagoshima,"23,500","84,941",0.277,0.645468041,0.047488183
188,2015,47,Okinanwa,"30,864","98,583",0.313,0.553188633,0.063171876
